iter	Passed	Remaining
0	4	4604
1	9	4567
2	13	4430
3	19	4939
4	27	5499
5	32	5406
6	37	5363
7	42	5282
8	47	5203
9	53	5265
10	57	5192
11	62	5137
12	69	5282
13	74	5211
14	84	5565
15	99	6105
16	104	6023
17	109	5946
18	113	5874
19	118	5805
20	122	5723
21	127	5676
22	133	5658
23	138	5638
24	144	5626
25	148	5579
26	153	5529
27	157	5477
28	162	5436
29	167	5413
30	171	5362
31	176	5345
32	182	5341
33	187	5323
34	192	5298
35	197	5278
36	202	5266
37	206	5236
38	211	5218
39	216	5186
40	220	5162
41	225	5147
42	230	5120
43	232	5051
44	237	5029
45	241	5014
46	246	4995
47	251	4990
48	256	4979
49	261	4969
50	267	4984
51	272	4962
52	277	4952
53	284	4989
54	288	4964
55	293	4943
56	297	4922
57	302	4907
58	309	4928
59	313	4914
60	318	4899
61	322	4876
62	327	4875
63	332	4862
64	339	4885
65	344	4876
66	349	4865
67	353	4847
68	358	4838
69	363	4823
70	367	4813
71	373	4817
72	380	4838
73	386	4840
74	392	4839
75	398	4849
76	403	4831
77	407	4821
78	412	4803
79	419	4826
80	425	4826
81	431	4829
82	436	4822
83	441	4814
84	446	4805
85	450	4790
86	455	4777
87	460	4768
88	465	4763
89	469	4750
90	474	4737
91	478	4725
92	483	4714
93	488	4707
94	492	4696
95	497	4685
96	502	4674
97	506	4662
98	510	4649
99	516	4645
100	520	4635
101	525	4624
102	529	4612
103	534	4602
104	538	4592
105	543	4582
106	547	4573
107	552	4564
108	557	4554
109	561	4544
110	566	4535
111	571	4534
112	576	4525
113	581	4516
114	586	4511
115	590	4503
116	595	4496
117	600	4487
118	604	4477
119	609	4472
120	614	4462
121	619	4455
122	624	4452
123	629	4444
124	633	4436
125	638	4428
126	642	4419
127	647	4411
128	652	4402
129	656	4392
130	661	4385
131	665	4374
132	670	4368
133	675	4363
134	679	4354
135	684	4347
136	688	4340
137	693	4334
138	698	4324
139	702	4317
140	707	4310
141	712	4302
142	716	4294
143	721	4288
144	726	4281
145	730	4272
146	734	4263
147	739	4258
148	744	4249
149	748	4240
150	752	4230
151	757	4225
152	761	4217
153	765	4207
154	770	4200
155	774	4192
156	779	4185
157	783	4177
158	788	4171
159	793	4163
160	797	4155
161	801	4147
162	806	4139
163	810	4132
164	815	4124
165	819	4117
166	824	4111
167	828	4103
168	833	4096
169	838	4093
170	843	4087
171	847	4081
172	852	4074
173	856	4068
174	861	4061
175	866	4054
176	870	4047
177	875	4041
178	879	4034
179	884	4028
180	889	4022
181	893	4017
182	898	4010
183	902	4003
184	907	3997
185	911	3989
186	916	3983
187	921	3979
188	927	3978
189	931	3972
190	936	3965
191	941	3962
192	946	3956
193	950	3950
194	955	3944
195	959	3937
196	964	3931
197	969	3925
198	973	3920
199	978	3914
200	983	3909
201	988	3903
202	992	3896
203	997	3891
204	1001	3884
205	1006	3878
206	1010	3872
207	1015	3865
208	1020	3861
209	1024	3854
210	1029	3848
211	1033	3841
212	1038	3835
213	1042	3829
214	1047	3825
215	1052	3819
216	1057	3815
217	1061	3809
218	1066	3802
219	1070	3796
220	1085	3824
221	1089	3818
222	1093	3811
223	1098	3804
224	1102	3796
225	1106	3789
226	1111	3783
227	1115	3778
228	1120	3772
229	1125	3766
230	1129	3761
231	1134	3754
232	1138	3748
233	1143	3742
234	1147	3736
235	1152	3729
236	1156	3724
237	1161	3718
238	1165	3712
239	1170	3706
240	1174	3700
241	1179	3694
242	1183	3687
243	1188	3681
244	1192	3675
245	1197	3669
246	1201	3662
247	1206	3657
248	1210	3651
249	1215	3646
250	1220	3642
251	1225	3636
252	1230	3632
253	1234	3626
254	1239	3620
255	1243	3614
256	1248	3608
257	1252	3602
258	1256	3596
259	1261	3590
260	1266	3585
261	1271	3582
262	1276	3576
263	1280	3570
264	1285	3566
265	1290	3560
266	1294	3554
267	1299	3548
268	1303	3542
269	1307	3536
270	1312	3530
271	1317	3525
272	1321	3519
273	1326	3514
274	1330	3508
275	1335	3503
276	1340	3498
277	1344	3492
278	1349	3486
279	1353	3480
280	1358	3475
281	1363	3472
282	1368	3466
283	1372	3460
284	1377	3454
285	1381	3449
286	1386	3443
287	1390	3437
288	1395	3432
289	1399	3427
290	1404	3422
291	1408	3416
292	1413	3409
293	1417	3403
294	1421	3397
295	1426	3393
296	1431	3387
297	1435	3382
298	1440	3376
299	1444	3371
300	1449	3366
301	1454	3360
302	1458	3355
303	1463	3350
304	1467	3345
305	1472	3339
306	1477	3334
307	1481	3328
308	1485	3322
309	1490	3317
310	1494	3311
311	1499	3307
312	1504	3302
313	1509	3298
314	1514	3294
315	1519	3288
316	1523	3283
317	1528	3278
318	1534	3276
319	1539	3270
320	1544	3267
321	1549	3261
322	1553	3256
323	1557	3250
324	1562	3245
325	1567	3240
326	1571	3234
327	1576	3229
328	1581	3224
329	1585	3219
330	1590	3214
331	1595	3209
332	1600	3205
333	1604	3199
334	1609	3194
335	1613	3189
336	1618	3184
337	1623	3179
338	1627	3173
339	1632	3168
340	1637	3163
341	1641	3158
342	1646	3153
343	1651	3148
344	1656	3144
345	1660	3138
346	1665	3133
347	1669	3128
348	1674	3123
349	1679	3118
350	1683	3113
351	1688	3107
352	1692	3101
353	1697	3097
354	1703	3095
355	1709	3091
356	1713	3086
357	1718	3082
358	1723	3077
359	1728	3072
360	1732	3066
361	1737	3062
362	1742	3057
363	1747	3052
364	1751	3047
365	1756	3042
366	1760	3036
367	1765	3031
368	1769	3026
369	1775	3022
370	1779	3017
371	1784	3012
372	1788	3007
373	1793	3001
374	1799	2998
375	1803	2993
376	1808	2988
377	1812	2983
378	1817	2977
379	1821	2971
380	1825	2966
381	1829	2960
382	1834	2955
383	1838	2949
384	1843	2945
385	1848	2940
386	1853	2935
387	1858	2931
388	1863	2926
389	1868	2921
390	1873	2917
391	1877	2912
392	1882	2906
393	1886	2901
394	1891	2897
395	1896	2892
396	1900	2887
397	1905	2881
398	1909	2876
399	1915	2872
400	1919	2868
401	1924	2863
402	1930	2860
403	1935	2855
404	1940	2850
405	1947	2849
406	1952	2845
407	1957	2841
408	1962	2836
409	1967	2831
410	1972	2826
411	1977	2821
412	1981	2816
413	1985	2810
414	1990	2806
415	1995	2801
416	1999	2795
417	2004	2790
418	2009	2785
419	2014	2781
420	2018	2776
421	2023	2771
422	2028	2767
423	2033	2762
