iter	Passed	Remaining
0	10	4125
1	20	4150
2	31	4160
3	41	4146
4	51	4095
5	62	4073
6	73	4121
7	84	4128
8	94	4111
9	104	4090
10	115	4083
11	125	4055
12	136	4067
13	147	4056
14	157	4052
15	168	4032
16	178	4020
17	188	4008
18	199	3994
19	209	3975
20	219	3965
21	230	3954
22	240	3939
23	250	3925
24	260	3912
25	271	3905
26	282	3900
27	293	3901
28	303	3888
29	313	3870
30	324	3860
31	334	3843
32	344	3835
33	355	3825
34	365	3810
35	376	3804
36	387	3803
37	398	3797
38	409	3791
39	420	3784
40	431	3775
41	441	3765
42	452	3758
43	464	3756
44	475	3747
45	486	3744
46	497	3737
47	507	3724
48	521	3732
49	534	3740
50	546	3742
51	558	3739
52	569	3727
53	579	3716
54	590	3705
55	601	3696
56	619	3729
57	636	3750
58	658	3807
59	669	3793
60	680	3781
61	691	3771
62	702	3759
63	713	3746
64	724	3734
65	735	3722
66	747	3716
67	758	3705
68	770	3695
69	785	3700
70	796	3692
71	808	3681
72	821	3679
73	832	3668
74	843	3656
75	856	3652
76	868	3641
77	879	3630
78	890	3618
79	903	3612
80	914	3599
81	925	3587
82	936	3576
83	947	3564
84	958	3553
85	969	3541
86	981	3532
87	1000	3546
88	1020	3567
89	1045	3601
90	1062	3609
91	1074	3598
92	1086	3586
93	1097	3571
94	1107	3557
95	1119	3544
96	1129	3529
97	1140	3515
98	1151	3502
99	1163	3489
100	1173	3474
101	1184	3460
102	1195	3446
103	1206	3433
104	1217	3419
105	1227	3405
106	1240	3396
107	1265	3421
108	1276	3407
109	1288	3396
110	1346	3504
111	1418	3648
112	1446	3673
113	1531	3843
114	1556	3856
115	1566	3834
116	1577	3816
117	1588	3796
118	1599	3777
119	1610	3757
120	1621	3739
121	1632	3719
122	1648	3711
123	1668	3714
124	1699	3737
125	1710	3719
126	1722	3703
127	1739	3696
128	1752	3682
129	1764	3664
130	1776	3648
131	1788	3630
132	1799	3612
133	1810	3594
134	1821	3574
135	1831	3555
136	1841	3534
137	1851	3515
138	1862	3497
139	1872	3478
140	1883	3459
141	1894	3441
142	1905	3423
143	1914	3404
144	1924	3385
145	1934	3365
146	1945	3348
147	1955	3330
148	1966	3312
149	1977	3295
150	1987	3277
151	1997	3259
152	2007	3241
153	2018	3223
154	2028	3205
155	2038	3188
156	2048	3170
157	2059	3153
158	2069	3136
159	2080	3120
160	2090	3103
161	2100	3086
162	2110	3068
163	2121	3052
164	2131	3035
165	2141	3018
166	2152	3002
167	2162	2986
168	2173	2971
169	2183	2954
170	2194	2939
171	2205	2923
172	2215	2907
173	2226	2891
174	2236	2875
175	2247	2859
176	2257	2844
177	2268	2828
178	2278	2813
179	2288	2797
180	2299	2782
181	2309	2766
182	2319	2750
183	2331	2736
184	2341	2721
185	2351	2705
186	2361	2689
187	2371	2674
188	2381	2658
189	2391	2643
190	2402	2628
191	2412	2613
192	2422	2598
193	2432	2583
194	2443	2568
195	2453	2553
196	2463	2538
197	2473	2523
198	2484	2509
199	2493	2493
200	2504	2479
201	2514	2464
202	2524	2449
203	2534	2435
204	2545	2421
205	2556	2407
206	2566	2392
207	2577	2379
208	2587	2364
209	2598	2350
210	2607	2336
211	2618	2321
212	2628	2307
213	2639	2294
214	2650	2280
215	2660	2266
216	2670	2252
217	2681	2238
218	2691	2224
219	2702	2211
220	2712	2197
221	2723	2183
222	2733	2169
223	2743	2155
224	2754	2142
225	2764	2128
226	2774	2114
227	2785	2101
228	2796	2087
229	2806	2074
230	2816	2060
231	2827	2047
232	2837	2033
233	2847	2020
234	2858	2006
235	2868	1993
236	2879	1980
237	2890	1967
238	2900	1954
239	2911	1940
240	2922	1927
241	2932	1914
242	2942	1901
243	2953	1888
244	2963	1875
245	2974	1862
246	2984	1848
247	2995	1835
248	3005	1822
249	3015	1809
250	3026	1796
251	3037	1783
252	3047	1770
253	3058	1757
254	3067	1744
255	3079	1732
256	3089	1719
257	3100	1706
258	3111	1694
259	3122	1681
260	3132	1668
261	3143	1655
262	3153	1642
263	3163	1629
264	3173	1616
265	3183	1603
266	3194	1591
267	3204	1578
268	3214	1565
269	3224	1552
270	3235	1540
271	3246	1527
272	3256	1514
273	3266	1502
274	3277	1489
275	3288	1477
276	3298	1464
277	3309	1452
278	3319	1439
279	3330	1427
280	3341	1414
281	3351	1402
282	3363	1390
283	3373	1377
284	3383	1365
285	3393	1352
286	3404	1340
287	3416	1328
288	3429	1317
289	3440	1304
290	3450	1292
291	3461	1280
292	3471	1267
293	3482	1255
294	3492	1243
295	3502	1230
296	3512	1218
297	3522	1205
298	3533	1193
299	3543	1181
300	3554	1169
301	3564	1156
302	3575	1144
303	3586	1132
304	3596	1120
305	3607	1108
306	3617	1095
307	3627	1083
308	3637	1071
309	3648	1059
310	3658	1047
311	3669	1034
312	3679	1022
313	3690	1010
314	3700	998
315	3710	986
316	3721	974
317	3731	962
318	3741	949
319	3751	937
320	3762	925
321	3773	913
322	3783	901
323	3793	889
324	3804	877
325	3814	865
326	3824	853
327	3835	841
328	3846	830
329	3857	818
330	3867	806
331	3878	794
332	3889	782
333	3898	770
334	3908	758
335	3919	746
336	3929	734
337	3939	722
338	3949	710
339	3959	698
340	3970	687
341	3981	675
342	3991	663
343	4001	651
344	4011	639
345	4021	627
346	4031	615
347	4041	603
348	4051	592
349	4062	580
350	4073	568
351	4083	556
352	4093	545
353	4104	533
354	4114	521
355	4124	509
356	4135	498
357	4146	486
358	4156	474
359	4167	463
360	4177	451
361	4187	439
362	4197	427
363	4207	416
364	4218	404
365	4228	392
366	4238	381
367	4247	369
368	4258	357
369	4267	346
370	4279	334
371	4291	323
372	4305	311
373	4316	300
374	4329	288
375	4340	277
376	4351	265
377	4362	253
378	4372	242
379	4382	230
380	4393	219
381	4403	207
382	4414	195
383	4424	184
384	4435	172
385	4444	161
386	4454	149
387	4464	138
388	4474	126
389	4485	115
390	4495	103
391	4506	91
392	4516	80
393	4526	68
394	4537	57
395	4548	45
396	4558	34
397	4568	22
398	4579	11
399	4590	0
